Date,Description,Montant,Catégorie
2025-03-01,Salaire Mars 2025,2800.00,Revenus
2025-03-02,LOYER MARS,-950.00,Logement
2025-03-03,EDF PRELEVEMENT,-87.45,Logement
2025-03-03,BOUYGUES TELECOM,-19.99,Services
2025-03-05,PRELEVEMENT ASSURANCE,-45.50,Services
2025-03-05,CARTE 04/03 CARREFOUR,-125.32,Alimentation
2025-03-08,RETRAIT DAB,-60.00,Non catégorisé
2025-03-10,CARTE 09/03 AMAZON,-49.99,Shopping
2025-03-12,CARTE 11/03 PHARMACIE,-18.75,Santé
2025-03-15,CARTE 15/03 CARBURANT,-65.85,Transport
2025-03-17,CARTE 17/03 FNAC,-29.99,Loisirs
2025-03-18,CARTE 18/03 MCDO,-15.40,Alimentation
2025-03-20,CARTE 19/03 MONOPRIX,-46.25,Alimentation
2025-03-22,CARTE 22/03 DECATHLON,-59.90,Loisirs
2025-03-25,VIREMENT AMI REMBOURSEMENT,25.00,Revenus
2025-03-26,CARTE 26/03 NETFLIX,-9.99,Loisirs
2025-03-28,PRELEVEMENT MUTUELLE,-35.00,Santé
2025-03-30,CARTE 30/03 RESTAURANT,-42.50,Alimentation